,Year assessed,Red List status,Counts
0,1996,CR,273.0
1,1996,EN,288.0
2,1996,EW,7.0
3,1996,EX,254.0
4,1996,LC,1.0
5,1996,NT,1.0
6,1996,VU,1051.0
7,1998,CR,808.0
8,1998,EN,1070.0
9,1998,EW,12.0
10,1998,EX,59.0
11,1998,VU,2838.0
12,2000,CR,147.0
13,2000,EN,93.0
14,2000,EW,3.0
15,2000,EX,64.0
16,2000,VU,152.0
17,2002,CR,2.0
18,2002,EN,1.0
19,2002,EW,1.0
20,2003,CR,231.0
21,2003,EN,326.0
22,2003,EW,7.0
23,2003,EX,12.0
24,2003,LC,126.0
25,2003,NT,148.0
26,2003,VU,463.0
27,2004,CR,484.0
28,2004,EN,1120.0
29,2004,EW,1.0
30,2004,EX,39.0
31,2004,LC,1615.0
32,2004,NT,426.0
33,2004,VU,1316.0
34,2005,EN,3.0
35,2005,LC,3.0
36,2005,NT,11.0
37,2005,VU,6.0
38,2006,CR,129.0
39,2006,EN,145.0
40,2006,EX,7.0
41,2006,LC,675.0
42,2006,NT,80.0
43,2006,VU,269.0
44,2007,CR,50.0
45,2007,EN,81.0
46,2007,EX,1.0
47,2007,LC,583.0
48,2007,NT,56.0
49,2007,VU,80.0
50,2008,CR,334.0
51,2008,EN,600.0
52,2008,EW,4.0
53,2008,EX,84.0
54,2008,LC,4061.0
55,2008,NT,469.0
56,2008,VU,858.0
57,2009,CR,107.0
58,2009,EN,176.0
59,2009,EW,11.0
60,2009,EX,49.0
61,2009,LC,1385.0
62,2009,NT,190.0
63,2009,VU,223.0
64,2010,CR,483.0
65,2010,EN,565.0
66,2010,EW,5.0
67,2010,EX,22.0
68,2010,LC,5482.0
69,2010,NT,508.0
70,2010,VU,818.0
71,2011,CR,103.0
72,2011,EN,127.0
73,2011,EW,1.0
74,2011,EX,11.0
75,2011,LC,1305.0
76,2011,NT,145.0
77,2011,VU,196.0
78,2012,CR,328.0
79,2012,EN,551.0
80,2012,EW,2.0
81,2012,EX,130.0
82,2012,LC,9164.0
83,2012,NT,939.0
84,2012,VU,821.0
85,2013,CR,676.0
86,2013,EN,1090.0
87,2013,EW,4.0
88,2013,EX,29.0
89,2013,LC,6385.0
90,2013,NT,731.0
91,2013,VU,1130.0
92,2014,CR,446.0
93,2014,EN,630.0
94,2014,EW,8.0
95,2014,EX,65.0
96,2014,LC,3274.0
97,2014,NT,467.0
98,2014,VU,547.0
99,2015,CR,133.0
100,2015,EN,257.0
101,2015,EW,3.0
102,2015,EX,6.0
103,2015,LC,753.0
104,2015,NT,61.0
105,2015,VU,156.0
